Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
Beef,9.55,0.007,100,73.3333,30,30,470,0.025,0.2
Beef,10.04,0.006,100,60,30,30,470,0.025,0.2
Beef,10.74,0.006,100,70,30,30,470,0.025,0.2
Beef,12.36,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,18.08,0.012,100,73.3333,30,30,470,0.025,0.2
Beef,18.17,0.01,100,60,30,30,470,0.025,0.2
Beef,36.39,0.013,100,60,30,30,470,0.025,0.2
Beef,11.1,0.007,100,63.3333,30,30,470,0.025,0.2
Beef,11.92,0.007,100,76.6667,30,30,470,0.025,0.2
Beef,11.95,0.007,100,63.3333,30,30,470,0.025,0.2
Beef,15.18,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,15.67,0.012,100,70,30,30,470,0.025,0.2
Beef,16.5,0.011,100,50,30,30,470,0.025,0.2
Beef,44.89,0.02,100,70,30,30,470,0.025,0.2
Beef,18.85,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,19.36,0.012,100,63.3333,30,30,470,0.025,0.2
Beef,19.67,0.009,100,56.6667,30,30,470,0.025,0.2
Beef,20.11,0.015,100,60,30,30,470,0.025,0.2
Beef,20.85,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,24.88,0.009,100,70,30,30,470,0.025,0.2
Beef,8.85,0.007,100,70,30,30,470,0.025,0.2
Beef,13.14,0.005,100,53.3333,30,30,470,0.025,0.2
Beef,14.46,0.009,100,50,30,30,470,0.025,0.2
Beef,9.3,0.01,100,50,30,30,470,0.025,0.2
Beef,9.98,0.007,100,63.3333,30,30,470,0.025,0.2
Beef,17.65,0.01,100,76.6667,30,30,470,0.025,0.2
Beef,21.48,0.011,100,56.6667,30,30,470,0.025,0.2
Beef,15.34,0.011,100,50,30,30,470,0.025,0.2
Beef,18.65,0.011,100,70,30,30,470,0.025,0.2
Beef,9.09,0.011,100,66.6667,30,30,470,0.025,0.2
Beef,10.55,0.006,100,56.6667,30,30,470,0.025,0.2
Beef,13.07,0.006,100,60,30,30,470,0.025,0.2
Beef,14.71,0.01,100,60,30,30,470,0.025,0.2
Beef,16.55,0.012,100,50,30,30,470,0.025,0.2
Beef,41.18,0.02,100,56.6667,30,30,470,0.025,0.2
Beef,18.86,0.009,100,63.3333,30,30,470,0.025,0.2
Beef,38.35,0.031,100,70,30,30,470,0.025,0.2
Beef,10.73,0.007,100,70,30,30,470,0.025,0.2
Beef,10.77,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,11.35,0.007,100,63.3333,30,30,470,0.025,0.2
Beef,13.82,0.01,100,53.3333,30,30,470,0.025,0.2
Beef,15.31,0.01,100,56.6667,30,30,470,0.025,0.2
Beef,16.67,0.01,100,63.3333,30,30,470,0.025,0.2
Beef,19.9,0.011,100,53.3333,30,30,470,0.025,0.2
Beef,19.92,0.012,100,53.3333,30,30,470,0.025,0.2
Beef,19.85,0.011,100,70,30,30,470,0.025,0.2
Beef,20.23,0.009,100,63.3333,30,30,470,0.025,0.2
Beef,22.36,0.011,100,60,30,30,470,0.025,0.2
Beef,9.22,0.007,100,53.3333,30,30,470,0.025,0.2
Beef,11.78,0.006,100,46.6667,30,30,470,0.025,0.2
Beef,7.53,0.008,100,53.3333,30,30,470,0.025,0.2
Beef,16.92,0.01,100,56.6667,30,30,470,0.025,0.2
Beef,9.81,0.007,100,60,30,30,470,0.025,0.2
Beef,19.76,0.01,100,56.6667,30,30,470,0.025,0.2
Beef,20.46,0.01,100,66.6667,30,30,470,0.025,0.2
Beef,8.7,0.008,100,63.3333,30,30,470,0.025,0.2
Beef,16.64,0.011,100,63.3333,30,30,470,0.025,0.2
Beef,29.32,0.024,100,60,30,30,470,0.025,0.2
Beef,50.41,0.019,100,53.3333,30,30,470,0.025,0.2
Beef,44.66,0.034,100,60,30,30,470,0.025,0.2
BeetleFly,0.36,0.002,100,90,20,20,512,0.025,0.1
BeetleFly,0.37,0.001,100,80,20,20,512,0.025,0.1
BeetleFly,0.4,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.44,0.001,100,70,20,20,512,0.025,0.1
BeetleFly,0.45,0.001,100,85,20,20,512,0.025,0.1
BeetleFly,0.64,0.001,100,85,20,20,512,0.025,0.1
BeetleFly,0.66,0.002,100,100,20,20,512,0.025,0.1
BeetleFly,0.44,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.43,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.6,0.001,100,90,20,20,512,0.025,0.1
BeetleFly,0.67,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.89,0.002,100,95,20,20,512,0.025,0.1
BeetleFly,0.42,0.001,100,90,20,20,512,0.025,0.1
BeetleFly,0.44,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.46,0.001,100,60,20,20,512,0.025,0.1
BeetleFly,0.39,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.55,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.59,0.001,100,90,20,20,512,0.025,0.1
BeetleFly,0.61,0.002,100,65,20,20,512,0.025,0.1
BeetleFly,0.59,0.002,100,85,20,20,512,0.025,0.1
BeetleFly,0.36,0.001,100,95,20,20,512,0.025,0.1
BeetleFly,0.39,0.001,100,90,20,20,512,0.025,0.1
BeetleFly,0.38,0.001,100,95,20,20,512,0.025,0.1
